Метод;Параметр;N;Истинный интеграл;Вычисленный интеграл;Абсолютная погрешность;Относительная погрешность;Оценка Delta I
Простой Монте-Карло;-;100;39.000000;40.580664;1.580664;0.04052983;3.900000
Стратификация;шаг 1;100;39.000000;38.314405;0.685595;0.01757936;3.900000
Стратификация;шаг 0.5;100;39.000000;39.478426;0.478426;0.01226733;3.900000
Выборка по значимости;p(x) ~ x;100;39.000000;39.808905;0.808905;0.02074114;3.900000
Выборка по значимости;p(x) ~ x^2;100;39.000000;39.000000;0.000000;0.00000000;3.900000
Выборка по значимости;p(x) ~ x^3;100;39.000000;39.162807;0.162807;0.00417453;3.900000
Многократная выборка по значимости;веса p/(p1+p2);100;39.000000;39.133280;0.133280;0.00341744;3.900000
Многократная выборка по значимости;веса p^2/(p1^2+p2^2);100;39.000000;39.830185;0.830185;0.02128679;3.900000
Русская рулетка;R=0.5;100;39.000000;46.616644;7.616644;0.19529855;3.900000
Русская рулетка;R=0.75;100;39.000000;39.680200;0.680200;0.01744101;3.900000
Русская рулетка;R=0.95;100;39.000000;39.849706;0.849706;0.02178734;3.900000
Простой Монте-Карло;-;1000;39.000000;39.530236;0.530236;0.01359580;1.233288
Стратификация;шаг 1;1000;39.000000;39.122629;0.122629;0.00314434;1.233288
Стратификация;шаг 0.5;1000;39.000000;38.812501;0.187499;0.00480768;1.233288
Выборка по значимости;p(x) ~ x;1000;39.000000;38.887009;0.112991;0.00289720;1.233288
Выборка по значимости;p(x) ~ x^2;1000;39.000000;39.000000;0.000000;0.00000000;1.233288
Выборка по значимости;p(x) ~ x^3;1000;39.000000;39.111629;0.111629;0.00286229;1.233288
Многократная выборка по значимости;веса p/(p1+p2);1000;39.000000;38.955504;0.044496;0.00114092;1.233288
Многократная выборка по значимости;веса p^2/(p1^2+p2^2);1000;39.000000;39.098239;0.098239;0.00251895;1.233288
Русская рулетка;R=0.5;1000;39.000000;39.097363;0.097363;0.00249650;1.233288
Русская рулетка;R=0.75;1000;39.000000;39.044787;0.044787;0.00114838;1.233288
Русская рулетка;R=0.95;1000;39.000000;38.991188;0.008812;0.00022595;1.233288
Простой Монте-Карло;-;10000;39.000000;39.292254;0.292254;0.00749370;0.390000
Стратификация;шаг 1;10000;39.000000;39.050948;0.050948;0.00130637;0.390000
Стратификация;шаг 0.5;10000;39.000000;38.973013;0.026987;0.00069198;0.390000
Выборка по значимости;p(x) ~ x;10000;39.000000;38.836192;0.163808;0.00420021;0.390000
Выборка по значимости;p(x) ~ x^2;10000;39.000000;39.000000;0.000000;0.00000000;0.390000
Выборка по значимости;p(x) ~ x^3;10000;39.000000;38.886788;0.113212;0.00290287;0.390000
Многократная выборка по значимости;веса p/(p1+p2);10000;39.000000;38.993977;0.006023;0.00015443;0.390000
Многократная выборка по значимости;веса p^2/(p1^2+p2^2);10000;39.000000;39.099796;0.099796;0.00255886;0.390000
Русская рулетка;R=0.5;10000;39.000000;39.100919;0.100919;0.00258767;0.390000
Русская рулетка;R=0.75;10000;39.000000;38.282089;0.717911;0.01840799;0.390000
Русская рулетка;R=0.95;10000;39.000000;39.475904;0.475904;0.01220267;0.390000
Простой Монте-Карло;-;100000;39.000000;39.030004;0.030004;0.00076934;0.123329
Стратификация;шаг 1;100000;39.000000;38.966007;0.033993;0.00087162;0.123329
Стратификация;шаг 0.5;100000;39.000000;39.010819;0.010819;0.00027742;0.123329
Выборка по значимости;p(x) ~ x;100000;39.000000;38.964576;0.035424;0.00090831;0.123329
Выборка по значимости;p(x) ~ x^2;100000;39.000000;39.000000;0.000000;0.00000000;0.123329
Выборка по значимости;p(x) ~ x^3;100000;39.000000;38.981414;0.018586;0.00047656;0.123329
Многократная выборка по значимости;веса p/(p1+p2);100000;39.000000;39.001767;0.001767;0.00004531;0.123329
Многократная выборка по значимости;веса p^2/(p1^2+p2^2);100000;39.000000;38.996271;0.003729;0.00009562;0.123329
Русская рулетка;R=0.5;100000;39.000000;39.098895;0.098895;0.00253578;0.123329
Русская рулетка;R=0.75;100000;39.000000;38.956006;0.043994;0.00112805;0.123329
Русская рулетка;R=0.95;100000;39.000000;39.048393;0.048393;0.00124084;0.123329
